,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineDenominator,DisciplineNumerator,DisciplineRate,DistrictCode_y,Expenditure
125,Clark,6114.0,Evergreen School District (Clark),5111.0,Union High School,P,12th Grade,503.0,249.0,0.0,254.0,0.0,55.0,15.0,71.0,5.0,31.0,326.0,13.0,0.0,43.0,10.0,134.0,0.0,1.0,10.0,15.0,61.0,490.0,502.0,460.0,493.0,369.0,503.0,478.0,72.0,,,1.0,6.0,59.0,491.0,471.0,13.0,7.0,0.9593,516,11,2.10%,6114.0,23705804.1
126,King,17210.0,Federal Way School District,5163.0,Career Academy at Truman High School,A,12th Grade,30.0,17.0,0.0,13.0,0.0,1.0,4.0,10.0,3.0,3.0,9.0,2.0,0.0,0.0,3.0,22.0,0.0,0.0,6.0,0.0,3.0,28.0,30.0,30.0,27.0,8.0,30.0,31.0,6.0,,,3.0,2.0,3.0,34.0,17.0,12.0,5.0,0.5,47,6,12.80%,17210.0,2017289.7
127,King,17210.0,Federal Way School District,3766.0,Decatur High School,P,12th Grade,339.0,160.0,0.0,179.0,1.0,38.0,47.0,81.0,17.0,32.0,123.0,30.0,0.0,26.0,7.0,173.0,1.0,4.0,20.0,20.0,48.0,309.0,339.0,313.0,332.0,166.0,338.0,339.0,46.0,4.0,2.0,2.0,12.0,63.0,322.0,289.0,13.0,20.0,0.8975,354,5,1.40%,17210.0,18536814.0
128,King,17210.0,Federal Way School District,2417.0,Federal Way High School,P,12th Grade,372.0,196.0,0.0,176.0,2.0,44.0,77.0,118.0,31.0,28.0,72.0,43.0,0.0,25.0,8.0,231.0,1.0,5.0,11.0,3.0,49.0,329.0,370.0,347.0,364.0,141.0,371.0,362.0,48.0,1.0,5.0,13.0,20.0,29.0,381.0,333.0,9.0,39.0,0.8740000000000001,382,27,7.10%,17210.0,22258224.1
129,King,17210.0,Federal Way School District,1759.0,Internet Academy,5,12th Grade,60.0,33.0,0.0,27.0,1.0,2.0,3.0,13.0,1.0,5.0,35.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,17.0,0.0,1.0,60.0,60.0,60.0,59.0,43.0,60.0,59.0,14.0,2.0,6.0,5.0,12.0,23.0,50.0,21.0,4.0,25.0,0.42,Count Suppressed,Count Suppressed,<3%,17210.0,4380071.5
130,King,17210.0,Federal Way School District,5348.0,Open Doors Youth Reengagement (1418),R,12th Grade,258.0,129.0,0.0,129.0,4.0,9.0,57.0,87.0,17.0,29.0,55.0,38.0,0.0,0.0,22.0,152.0,0.0,1.0,75.0,9.0,39.0,220.0,257.0,258.0,236.0,106.0,258.0,114.0,19.0,,,14.0,33.0,8.0,125.0,22.0,56.0,47.0,0.17600000000000002,391,4,1.00%,17210.0,3310022.5
131,,,,5138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,
132,King,17210.0,Federal Way School District,3584.0,Thomas Jefferson High School,P,12th Grade,455.0,229.0,0.0,226.0,0.0,99.0,66.0,116.0,11.0,43.0,120.0,62.0,0.0,55.0,9.0,247.0,0.0,2.0,7.0,6.0,46.0,393.0,452.0,400.0,446.0,208.0,455.0,410.0,88.0,10.0,2.0,,21.0,44.0,454.0,411.0,10.0,33.0,0.9053,470,15,3.20%,17210.0,22472058.0
133,King,17210.0,Federal Way School District,4570.0,Todd Beamer High School,P,12th Grade,372.0,191.0,0.0,181.0,2.0,65.0,47.0,82.0,16.0,39.0,121.0,38.0,0.0,17.0,7.0,191.0,0.0,2.0,14.0,18.0,49.0,334.0,371.0,355.0,365.0,181.0,372.0,347.0,65.0,3.0,4.0,11.0,7.0,47.0,365.0,323.0,17.0,25.0,0.8849,398,24,6.00%,17210.0,20154022.6
134,Whatcom,37502.0,Ferndale School District,2488.0,Ferndale High School,P,12th Grade,380.0,192.0,0.0,188.0,20.0,20.0,0.0,72.0,0.0,24.0,244.0,11.0,0.0,201.0,7.0,144.0,6.0,4.0,16.0,13.0,57.0,369.0,379.0,179.0,373.0,236.0,374.0,336.0,60.0,3.0,12.0,5.0,20.0,46.0,350.0,295.0,15.0,40.0,0.8429,Count Suppressed,Count Suppressed,<1%,37502.0,19697202.0
135,Whatcom,37502.0,Ferndale School District,5245.0,WINDWARD HIGH SCHOOL,P,12th Grade,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,8.0,8.0,7.0,8.0,13.0,5.0,,,3.0,,6.0,12.0,9.0,0.0,3.0,0.75,Count Suppressed,Count Suppressed,<10%,,
136,Pierce,27417.0,Fife School District,2773.0,Fife High School,P,12th Grade,275.0,128.0,0.0,147.0,2.0,22.0,13.0,55.0,16.0,28.0,139.0,26.0,0.0,22.0,10.0,125.0,0.0,0.0,12.0,7.0,32.0,249.0,275.0,253.0,265.0,150.0,275.0,246.0,36.0,,1.0,2.0,2.0,26.0,256.0,241.0,10.0,5.0,0.9414,Count Suppressed,Count Suppressed,3.40%,27417.0,11608828.9
137,Benton,3053.0,Finley School District,2367.0,River View High School,P,12th Grade,81.0,28.0,0.0,53.0,0.0,0.0,0.0,39.0,0.0,2.0,40.0,10.0,0.0,2.0,2.0,65.0,5.0,0.0,9.0,0.0,14.0,71.0,81.0,79.0,79.0,16.0,76.0,69.0,10.0,,1.0,3.0,8.0,14.0,65.0,51.0,2.0,12.0,0.7846,89,6,6.70%,3053.0,4202154.1
138,Pierce,27402.0,Franklin Pierce School District,2876.0,Franklin Pierce High School,P,12th Grade,247.0,117.0,0.0,130.0,0.0,22.0,16.0,53.0,12.0,22.0,122.0,13.0,0.0,113.0,6.0,148.0,0.0,1.0,10.0,8.0,31.0,234.0,246.0,134.0,241.0,99.0,247.0,239.0,34.0,,3.0,1.0,6.0,29.0,244.0,227.0,7.0,10.0,0.9303,263,15,5.70%,27402.0,18230034.1
139,Pierce,27402.0,Franklin Pierce School District,4063.0,Gates Secondary School,A,12th Grade,61.0,31.0,0.0,30.0,0.0,0.0,5.0,13.0,8.0,11.0,24.0,2.0,0.0,0.0,10.0,53.0,0.0,3.0,19.0,6.0,4.0,59.0,60.0,61.0,51.0,8.0,61.0,65.0,13.0,,,4.0,4.0,3.0,75.0,59.0,8.0,8.0,0.7867,80,4,5.00%,27402.0,3232801.7
140,Pierce,27402.0,Franklin Pierce School District,3648.0,Washington High School,P,12th Grade,235.0,120.0,0.0,115.0,4.0,9.0,25.0,61.0,27.0,24.0,85.0,11.0,0.0,111.0,14.0,191.0,0.0,4.0,13.0,7.0,35.0,224.0,234.0,124.0,221.0,44.0,235.0,237.0,43.0,1.0,2.0,2.0,8.0,43.0,237.0,207.0,17.0,13.0,0.8734,252,12,4.80%,27402.0,15449552.3
141,Whitman,38302.0,Garfield School District,1962.0,Garfield at Palouse High School,P,12th Grade,10.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,1.0,,,,1.0,1.0,10.0,9.0,0.0,1.0,0.9,Count Suppressed,Count Suppressed,<10%,38302.0,153215.5
142,Klickitat,20404.0,Goldendale School District,2856.0,Goldendale High School,P,12th Grade,65.0,30.0,0.0,35.0,4.0,0.0,1.0,10.0,0.0,1.0,49.0,1.0,0.0,6.0,2.0,32.0,3.0,0.0,4.0,7.0,6.0,64.0,65.0,59.0,63.0,33.0,62.0,67.0,25.0,1.0,,1.0,4.0,24.0,68.0,60.0,2.0,6.0,0.8824,Count Suppressed,Count Suppressed,<4%,20404.0,4544420.6
143,Grant,13301.0,Grand Coulee Dam School District,5336.0,Lake Roosevelt Alternative School,A,12th Grade,11.0,4.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0,2.0,11.0,11.0,11.0,9.0,4.0,11.0,14.0,5.0,,,,3.0,1.0,18.0,6.0,9.0,3.0,0.3333,Count Suppressed,Count Suppressed,<10%,13301.0,293456.1
144,Yakima,39200.0,Grandview School District,1776.0,Contract Learning Center,A,12th Grade,6.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,6.0,6.0,2.0,2.0,6.0,14.0,1.0,,,1.0,3.0,1.0,14.0,2.0,8.0,4.0,0.1429,Count Suppressed,Count Suppressed,<10%,39200.0,665308.3
145,Yakima,39200.0,Grandview School District,2555.0,Grandview High School,P,12th Grade,193.0,100.0,0.0,93.0,0.0,1.0,1.0,172.0,0.0,0.0,19.0,26.0,0.0,0.0,7.0,155.0,20.0,0.0,8.0,4.0,14.0,167.0,192.0,193.0,186.0,38.0,173.0,209.0,7.0,,4.0,,6.0,19.0,197.0,178.0,9.0,10.0,0.9036,199,4,2.00%,39200.0,11980981.9
146,Yakima,39204.0,Granger School District,3314.0,Granger High School,P,12th Grade,108.0,54.0,0.0,54.0,2.0,0.0,0.0,101.0,0.0,0.0,5.0,23.0,0.0,2.0,6.0,87.0,29.0,0.0,4.0,0.0,12.0,85.0,108.0,106.0,102.0,21.0,79.0,109.0,10.0,1.0,6.0,5.0,2.0,6.0,113.0,92.0,7.0,14.0,0.8142,110,6,5.50%,39204.0,6621263.6
147,Snohomish,31332.0,Granite Falls School District,5171.0,Crossroads High School,A,12th Grade,72.0,32.0,0.0,40.0,0.0,0.0,0.0,14.0,2.0,4.0,52.0,4.0,0.0,1.0,27.0,45.0,0.0,0.0,4.0,9.0,17.0,68.0,69.0,71.0,45.0,27.0,72.0,65.0,8.0,,,,8.0,4.0,69.0,34.0,27.0,8.0,0.4928,Count Suppressed,Count Suppressed,<3%,31332.0,2633504.7
148,Snohomish,31332.0,Granite Falls School District,2580.0,Granite Falls High School,P,12th Grade,117.0,59.0,0.0,58.0,0.0,0.0,2.0,11.0,0.0,8.0,96.0,2.0,0.0,6.0,13.0,38.0,0.0,1.0,10.0,2.0,16.0,115.0,117.0,111.0,104.0,79.0,117.0,108.0,10.0,,2.0,1.0,5.0,11.0,107.0,95.0,4.0,8.0,0.8879,129,8,6.20%,31332.0,7705492.0
149,Yakima,39203.0,Highland School District,4559.0,Highland High School,P,12th Grade,94.0,46.0,0.0,48.0,1.0,0.0,0.0,62.0,0.0,1.0,30.0,10.0,0.0,5.0,5.0,69.0,7.0,1.0,1.0,3.0,7.0,84.0,92.0,89.0,89.0,25.0,87.0,97.0,8.0,,,3.0,3.0,11.0,94.0,80.0,8.0,6.0,0.8511,Count Suppressed,Count Suppressed,<3%,39203.0,4723855.4
150,,,,3098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,,,,17401.0,10521758.0
151,King,17401.0,Highline School District,3099.0,Evergreen High School,P,12th Grade,247.0,123.0,0.0,124.0,2.0,67.0,33.0,96.0,8.0,15.0,26.0,61.0,0.0,1.0,18.0,178.0,2.0,0.0,14.0,4.0,64.0,186.0,246.0,246.0,229.0,69.0,245.0,183.0,37.0,,,6.0,4.0,11.0,209.0,174.0,25.0,10.0,0.8325,260,10,3.80%,17401.0,14110709.7
152,King,17401.0,Highline School District,2325.0,Highline High School,P,12th Grade,298.0,144.0,0.0,154.0,4.0,61.0,15.0,132.0,10.0,21.0,55.0,53.0,0.0,28.0,12.0,192.0,0.0,0.0,31.0,11.0,40.0,245.0,296.0,270.0,286.0,106.0,298.0,254.0,48.0,4.0,9.0,6.0,9.0,30.0,272.0,222.0,22.0,28.0,0.8162,316,8,2.50%,17401.0,15495513.8
153,King,17401.0,Highline School District,5370.0,Highline Open Doors 1418,R,12th Grade,287.0,152.0,0.0,135.0,4.0,19.0,44.0,121.0,5.0,23.0,71.0,53.0,0.0,1.0,7.0,97.0,0.0,0.0,80.0,13.0,23.0,234.0,283.0,286.0,280.0,190.0,287.0,160.0,43.0,1.0,4.0,20.0,103.0,6.0,197.0,18.0,51.0,128.0,0.0914,Count Suppressed,Count Suppressed,<1%,17401.0,5731980.8
154,King,17401.0,Highline School District,3279.0,Mount Rainier High School,P,12th Grade,403.0,198.0,0.0,205.0,2.0,64.0,53.0,103.0,13.0,29.0,139.0,40.0,0.0,24.0,17.0,220.0,0.0,0.0,27.0,21.0,56.0,363.0,402.0,379.0,386.0,183.0,403.0,345.0,54.0,,4.0,5.0,4.0,35.0,364.0,320.0,31.0,13.0,0.8791,Count Suppressed,Count Suppressed,<1%,17401.0,20816380.1
155,King,17401.0,Highline School District,1972.0,New Start,A,12th Grade,58.0,24.0,0.0,34.0,1.0,3.0,9.0,29.0,4.0,3.0,9.0,15.0,0.0,0.0,6.0,45.0,0.0,0.0,16.0,2.0,14.0,43.0,57.0,58.0,52.0,13.0,58.0,34.0,3.0,,2.0,2.0,8.0,1.0,36.0,14.0,10.0,12.0,0.3889,91,11,12.10%,17401.0,3300652.7
156,,,,5103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,3.0,0.0,0.0,0.0,0.0,,,,,,
157,King,17401.0,Highline School District,3483.0,Tyee High School,P,12th Grade,254.0,123.0,0.0,131.0,3.0,38.0,48.0,109.0,14.0,9.0,33.0,74.0,0.0,1.0,29.0,193.0,1.0,0.0,32.0,4.0,47.0,180.0,254.0,253.0,225.0,61.0,253.0,160.0,49.0,,,8.0,11.0,7.0,202.0,163.0,20.0,19.0,0.8069,Count Suppressed,Count Suppressed,<1%,17401.0,14109657.9
158,Clark,6098.0,Hockinson School District,4568.0,Hockinson High School,P,12th Grade,152.0,66.0,0.0,86.0,1.0,2.0,0.0,8.0,0.0,1.0,140.0,1.0,0.0,19.0,1.0,21.0,0.0,2.0,2.0,6.0,6.0,151.0,152.0,133.0,151.0,131.0,152.0,149.0,16.0,,,1.0,5.0,16.0,149.0,141.0,2.0,6.0,0.9463,Count Suppressed,Count Suppressed,<2%,6098.0,7564511.9
159,Grays Harbor,14028.0,Hoquiam School District,3622.0,Hoquiam High School,P,12th Grade,112.0,51.0,0.0,61.0,6.0,2.0,1.0,16.0,0.0,3.0,84.0,0.0,0.0,5.0,12.0,57.0,0.0,0.0,7.0,5.0,14.0,112.0,112.0,107.0,100.0,55.0,112.0,101.0,16.0,,,2.0,3.0,11.0,106.0,93.0,8.0,5.0,0.8774,121,6,5.00%,14028.0,7385948.2
160,Grays Harbor,14028.0,Hoquiam School District,5191.0,Hoquiam Homelink School,P,12th Grade,27.0,15.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,2.0,21.0,1.0,0.0,1.0,1.0,19.0,0.0,0.0,11.0,1.0,5.0,26.0,27.0,26.0,26.0,8.0,27.0,13.0,2.0,,1.0,1.0,4.0,3.0,12.0,4.0,2.0,6.0,0.3333,Count Suppressed,Count Suppressed,<7%,,
161,Ferry,10070.0,Inchelium School District,2603.0,Inchelium High School,P,12th Grade,17.0,8.0,0.0,9.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,1.0,3.0,13.0,17.0,17.0,17.0,4.0,17.0,18.0,,,1.0,,2.0,1.0,17.0,10.0,4.0,3.0,0.5882,Count Suppressed,Count Suppressed,<10%,10070.0,1798514.6
162,King,17411.0,Issaquah School District,5437.0,Gibson Ek High School,P,12th Grade,18.0,9.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,,,1.0,,1.0,1.0,21.0,16.0,3.0,2.0,0.7619,Count Suppressed,Count Suppressed,<10%,17411.0,3139400.0
163,King,17411.0,Issaquah School District,3385.0,Issaquah High School,P,12th Grade,599.0,279.0,0.0,320.0,3.0,154.0,10.0,45.0,3.0,32.0,352.0,18.0,0.0,14.0,3.0,51.0,0.0,3.0,9.0,59.0,49.0,581.0,599.0,585.0,596.0,548.0,599.0,563.0,80.0,6.0,4.0,6.0,18.0,61.0,582.0,533.0,15.0,34.0,0.9158,613,9,1.50%,17411.0,30322946.0
164,King,17411.0,Issaquah School District,3962.0,Liberty Sr High School,P,12th Grade,328.0,152.0,0.0,176.0,0.0,66.0,5.0,40.0,0.0,12.0,205.0,8.0,0.0,11.0,2.0,27.0,0.0,2.0,6.0,31.0,35.0,320.0,328.0,317.0,326.0,301.0,328.0,305.0,33.0,4.0,3.0,8.0,4.0,28.0,310.0,286.0,5.0,19.0,0.9226,Count Suppressed,Count Suppressed,1.50%,17411.0,19330838.5
165,King,17411.0,Issaquah School District,4495.0,Skyline High School,P,12th Grade,516.0,233.0,0.0,283.0,0.0,157.0,13.0,45.0,1.0,21.0,279.0,8.0,0.0,19.0,2.0,21.0,0.0,1.0,8.0,51.0,36.0,508.0,515.0,497.0,514.0,495.0,516.0,502.0,39.0,8.0,1.0,3.0,5.0,41.0,500.0,467.0,16.0,17.0,0.934,Count Suppressed,Count Suppressed,<1%,17411.0,27726462.6
166,Cowlitz,8402.0,Kalama School District,5545.0,Kalama High School,P,12th Grade,79.0,32.0,0.0,47.0,1.0,0.0,3.0,5.0,0.0,4.0,66.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,6.0,4.0,11.0,79.0,79.0,79.0,77.0,54.0,79.0,65.0,9.0,,,2.0,1.0,5.0,69.0,60.0,6.0,3.0,0.8696,Count Suppressed,Count Suppressed,<4%,8402.0,4691576.2
167,Cowlitz,8458.0,Kelso School District,2266.0,Kelso High School,P,12th Grade,443.0,206.0,0.0,237.0,10.0,6.0,1.0,66.0,1.0,37.0,322.0,15.0,0.0,25.0,21.0,228.0,2.0,0.0,34.0,18.0,45.0,428.0,442.0,418.0,422.0,215.0,441.0,361.0,43.0,,1.0,6.0,24.0,44.0,360.0,329.0,0.0,31.0,0.9139,479,14,2.90%,8458.0,20759906.9
168,Cowlitz,8458.0,Kelso School District,1934.0,Loowit High School,A,12th Grade,13.0,7.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,3.0,9.0,0.0,0.0,4.0,2.0,1.0,11.0,13.0,13.0,10.0,4.0,13.0,10.0,2.0,,,5.0,1.0,1.0,11.0,2.0,3.0,6.0,0.1818,14,2,14.30%,8458.0,53101.0
169,Benton,3017.0,Kennewick School District,3731.0,Kamiakin High School,P,12th Grade,440.0,207.0,1.0,232.0,2.0,9.0,22.0,130.0,1.0,6.0,270.0,17.0,0.0,0.0,2.0,157.0,43.0,1.0,27.0,12.0,41.0,423.0,440.0,440.0,438.0,283.0,397.0,395.0,66.0,,1.0,5.0,7.0,53.0,408.0,348.0,47.0,13.0,0.8529,468,8,1.70%,3017.0,20803469.8
170,Benton,3017.0,Kennewick School District,2826.0,Kennewick High School,P,12th Grade,367.0,166.0,0.0,201.0,4.0,11.0,8.0,180.0,1.0,11.0,152.0,47.0,0.0,0.0,11.0,246.0,77.0,0.0,18.0,7.0,40.0,320.0,367.0,367.0,356.0,121.0,290.0,359.0,45.0,4.0,6.0,10.0,13.0,48.0,356.0,313.0,10.0,33.0,0.8792,382,19,5.00%,3017.0,20768173.5
171,Benton,3017.0,Kennewick School District,1884.0,Legacy High School,A,12th Grade,102.0,50.0,0.0,52.0,3.0,1.0,1.0,37.0,1.0,4.0,55.0,3.0,0.0,0.0,6.0,64.0,10.0,0.0,37.0,5.0,4.0,99.0,100.0,102.0,96.0,38.0,92.0,132.0,22.0,,5.0,33.0,58.0,5.0,149.0,19.0,34.0,96.0,0.1275,176,4,2.30%,3017.0,4850272.9
172,Benton,3017.0,Kennewick School District,1941.0,Mid-Columbia Parent Partnership,A,12th Grade,20.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,20.0,20.0,20.0,20.0,14.0,20.0,17.0,2.0,,,1.0,2.0,2.0,17.0,14.0,0.0,3.0,0.8235,Count Suppressed,Count Suppressed,<10%,3017.0,2354549.3
173,Benton,3017.0,Kennewick School District,5106.0,Phoenix High School,A,12th Grade,23.0,12.0,1.0,10.0,1.0,0.0,0.0,9.0,0.0,0.0,13.0,3.0,0.0,0.0,3.0,18.0,2.0,0.0,2.0,4.0,4.0,20.0,22.0,23.0,20.0,5.0,21.0,17.0,1.0,,,,2.0,0.0,18.0,6.0,10.0,2.0,0.3333,27,7,25.90%,3017.0,972648.2
174,Benton,3017.0,Kennewick School District,4484.0,Southridge High School,P,12th Grade,415.0,200.0,0.0,215.0,1.0,7.0,12.0,135.0,0.0,17.0,243.0,33.0,0.0,0.0,8.0,193.0,51.0,1.0,24.0,9.0,47.0,382.0,414.0,415.0,407.0,222.0,364.0,389.0,45.0,1.0,1.0,12.0,16.0,36.0,398.0,337.0,31.0,30.0,0.8467,452,29,6.40%,3017.0,19881427.3
175,King,17415.0,Kent School District,5275.0,Individualized Graduation & Degree Program,R,12th Grade,273.0,132.0,0.0,141.0,2.0,18.0,46.0,82.0,12.0,22.0,91.0,23.0,0.0,0.0,6.0,143.0,1.0,1.0,116.0,12.0,28.0,250.0,272.0,273.0,267.0,130.0,272.0,197.0,20.0,,,29.0,124.0,7.0,210.0,3.0,54.0,153.0,0.0143,Count Suppressed,Count Suppressed,<1%,17415.0,2797102.6
176,King,17415.0,Kent School District,2797.0,Kent-Meridian High School,P,12th Grade,457.0,237.0,0.0,220.0,0.0,107.0,92.0,131.0,20.0,24.0,83.0,100.0,0.0,16.0,7.0,317.0,2.0,0.0,26.0,11.0,43.0,357.0,457.0,441.0,450.0,140.0,455.0,416.0,91.0,10.0,12.0,11.0,32.0,56.0,451.0,350.0,36.0,65.0,0.7761,500,9,1.80%,17415.0,25447575.1
177,King,17415.0,Kent School District,5098.0,Kent Phoenix Academy,A,12th Grade,122.0,61.0,0.0,61.0,1.0,8.0,21.0,34.0,4.0,15.0,39.0,3.0,0.0,0.0,8.0,69.0,0.0,0.0,29.0,17.0,15.0,119.0,122.0,122.0,114.0,53.0,122.0,97.0,9.0,,3.0,3.0,8.0,8.0,98.0,48.0,36.0,14.0,0.4898,156,9,5.80%,17415.0,4199447.2
178,King,17415.0,Kent School District,4492.0,Kentlake High School,P,12th Grade,372.0,173.0,0.0,199.0,4.0,37.0,30.0,64.0,5.0,28.0,204.0,30.0,0.0,19.0,4.0,132.0,3.0,0.0,17.0,19.0,38.0,342.0,371.0,353.0,368.0,240.0,369.0,341.0,41.0,1.0,6.0,3.0,29.0,37.0,345.0,284.0,22.0,39.0,0.8232,382,12,3.10%,17415.0,18208831.1
179,King,17415.0,Kent School District,3640.0,Kentridge High School,P,12th Grade,527.0,260.0,0.0,267.0,0.0,162.0,47.0,63.0,11.0,55.0,189.0,31.0,0.0,50.0,5.0,159.0,0.0,1.0,21.0,38.0,38.0,496.0,522.0,477.0,522.0,368.0,527.0,481.0,55.0,1.0,5.0,6.0,20.0,27.0,509.0,451.0,26.0,32.0,0.8861,549,7,1.30%,17415.0,24919240.9
180,King,17415.0,Kent School District,4128.0,Kentwood High School,P,12th Grade,461.0,217.0,0.0,244.0,6.0,117.0,44.0,82.0,9.0,35.0,168.0,20.0,0.0,54.0,9.0,188.0,1.0,1.0,13.0,26.0,38.0,441.0,461.0,407.0,452.0,273.0,460.0,452.0,51.0,4.0,5.0,3.0,8.0,55.0,448.0,414.0,14.0,20.0,0.9241,486,6,1.20%,17415.0,24073766.4
181,Stevens,33212.0,Kettle Falls School District,5180.0,Columbia Virtual Academy - Kettle Falls,5,12th Grade,57.0,26.0,0.0,31.0,0.0,1.0,0.0,13.0,0.0,3.0,40.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,14.0,2.0,6.0,57.0,56.0,57.0,56.0,36.0,57.0,70.0,20.0,1.0,,3.0,14.0,42.0,48.0,27.0,3.0,18.0,0.5625,Count Suppressed,Count Suppressed,<5%,33212.0,1929815.0
182,Stevens,33212.0,Kettle Falls School District,4206.0,Kettle Falls High School,P,12th Grade,48.0,22.0,0.0,26.0,3.0,0.0,0.0,1.0,0.0,0.0,44.0,0.0,0.0,6.0,5.0,25.0,0.0,1.0,2.0,8.0,7.0,48.0,48.0,42.0,43.0,23.0,48.0,53.0,9.0,,,1.0,,8.0,54.0,47.0,6.0,1.0,0.8704,50,5,10.00%,33212.0,3911723.1
183,Benton,3052.0,Kiona-Benton City School District,2904.0,Kiona-Benton City High School,P,12th Grade,110.0,54.0,0.0,56.0,0.0,0.0,1.0,45.0,0.0,2.0,62.0,18.0,0.0,1.0,7.0,73.0,25.0,0.0,6.0,5.0,18.0,92.0,110.0,109.0,103.0,37.0,85.0,104.0,19.0,,,6.0,3.0,14.0,109.0,98.0,2.0,9.0,0.8991,Count Suppressed,Count Suppressed,<3%,3052.0,5837320.7
184,Kittitas,19403.0,Kittitas School District,2766.0,Kittitas High School,P,12th Grade,45.0,22.0,0.0,23.0,0.0,0.0,0.0,10.0,0.0,0.0,35.0,1.0,0.0,0.0,7.0,17.0,2.0,0.0,2.0,0.0,5.0,44.0,45.0,45.0,38.0,28.0,43.0,39.0,9.0,,,,1.0,5.0,43.0,38.0,4.0,1.0,0.8837,Count Suppressed,Count Suppressed,<6%,19403.0,5252637.0
185,Clark,6101.0,La Center School District,4431.0,La Center High School,P,12th Grade,132.0,64.0,0.0,68.0,2.0,0.0,1.0,7.0,0.0,3.0,119.0,0.0,0.0,6.0,1.0,19.0,1.0,0.0,7.0,11.0,16.0,132.0,131.0,126.0,131.0,113.0,131.0,133.0,12.0,,1.0,4.0,5.0,10.0,135.0,124.0,1.0,10.0,0.9185,Count Suppressed,Count Suppressed,<2%,6101.0,6837707.4
186,Skagit,29311.0,La Conner School District,2276.0,La Conner High School,P,12th Grade,42.0,20.0,0.0,22.0,13.0,1.0,0.0,6.0,0.0,1.0,21.0,1.0,0.0,1.0,0.0,21.0,8.0,2.0,5.0,4.0,5.0,41.0,42.0,41.0,42.0,21.0,34.0,46.0,4.0,,1.0,2.0,3.0,7.0,43.0,35.0,2.0,6.0,0.8140000000000001,Count Suppressed,Count Suppressed,<7%,29311.0,4502267.2
187,Chelan,4129.0,Lake Chelan School District,4260.0,Chelan High School,P,12th Grade,118.0,46.0,0.0,72.0,0.0,0.0,1.0,59.0,0.0,2.0,56.0,8.0,0.0,0.0,6.0,70.0,9.0,1.0,1.0,8.0,7.0,110.0,118.0,118.0,112.0,48.0,109.0,120.0,5.0,,,,2.0,5.0,120.0,115.0,3.0,2.0,0.9583,121,4,3.30%,4129.0,6591064.8
188,,,,2973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,
189,,,,5099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,10.0,0.0,0.0,0.0,0.0,,,,,31004.0,18078574.0
